fips,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141
55001,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,Snow Storms or Ice Storms,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,Wildfire,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,Tornado or Funnel Cloud,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",Tornado or Funnel Cloud,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,Drought,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADAMS
21099,Snow Storms or Ice Storms,,,,,,Tornado or Funnel Cloud,Flooding,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,,,,,,,,,,"Wind, Hail, or Lightning","Wind, Hail, or Lightning",,,,,,,,,Tornado or Funnel Cloud,,,,,,,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,"Wind, Hail, or Lightning",,,Flooding,,,,,,,"Wind, Hail, or Lightning",,,,,,"Wind, Hail, or Lightning",,,,,,,,"Wind, Hail, or Lightning",,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,Flooding,,,,,,,,,Hart
26067,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning","Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,Tornado or Funnel Cloud,,,,,,,,,,,IONIA
17153,,,,,,,Flooding,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,Drought,,Extreme Heat,,,Flooding,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,Tornado or Funnel Cloud,,"Wind, Hail, or Lightning",,,,,Drought,,,,,,,,,,,Extreme Heat,,,,,,,,Tornado or Funnel Cloud,,Cold Weather/Wind Chill or Freezing,,,,,,,,Snow Storms or Ice Storms,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,PULASKI
26065,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tornado or Funnel Cloud,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,INGHAM
26063,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,Snow Storms or Ice Storms,Snow Storms or Ice Storms,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,,,,,,,,,,,,Extreme Heat,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,Cold Weather/Wind Chill or Freezing,,,,,,,,,,,,,,,,,HURON
26061,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,,,,Other,,,Snow Storms or Ice Storms,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,Houghton
26069,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,Flooding,,,,,,,,,,,,,,,,,,,,,,,Wildfire,,,,,,,,,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,Cold Weather/Wind Chill or Freezing,,,,,,,,Cold Weather/Wind Chill or Freezing,,,,,,,,,,,,,,,,,IOSCO
17189,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,Extreme Heat,,Extreme Heat,,,"Wind, Hail, or Lightning",,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,"Wind, Hail, or Lightning",,,,,Flooding,,,,,Drought,,,,"Wind, Hail, or Lightning",,,,,,,Extreme Heat,,,,,"Wind, Hail, or Lightning",,,Tornado or Funnel Cloud,,Snow Storms or Ice Storms,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,Washington
17181,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,Tornado or Funnel Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,Drought,,,,,Flooding,,Flooding,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",Flooding,,Tornado or Funnel Cloud,,,,,,,Drought,,,,,,,,,,,Extreme Heat,,,,,,,,,,Snow Storms or Ice Storms,Tornado or Funnel Cloud,,,,,,,Snow Storms or Ice Storms,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,Union
17183,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,Snow Storms or Ice Storms,,,,,,"Wind, Hail, or Lightning",,,,,,,,,Flooding,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,Tornado or Funnel Cloud,,Snow Storms or Ice Storms,,,"Wind, Hail, or Lightning",,,Tornado or Funnel Cloud,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,,Drought,,,,Tornado or Funnel Cloud,,,,"Wind, Hail, or Lightning",,,,,,"Wind, Hail, or Lightning",,Tornado or Funnel Cloud,,,Tornado or Funnel Cloud,,Snow Storms or Ice Storms,,,Flooding,,,,,,Flooding,,,,,,,,,,,,,,,,Vermilion
17185,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,Drought,,,,,Flooding,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,Tornado or Funnel Cloud,,,Tornado or Funnel Cloud,,"Wind, Hail, or Lightning","Wind, Hail, or Lightning",,,,Drought,,,,,,,,"Wind, Hail, or Lightning",,,Extreme Heat,,,,,,,,Tornado or Funnel Cloud,,Snow Storms or Ice Storms,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,,Wabash
17187,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,Flooding,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,Flooding,,,,,,,Drought,,,,,,,,,,,Drought,,,"Wind, Hail, or Lightning","Wind, Hail, or Lightning","Wind, Hail, or Lightning",,,,,Cold Weather/Wind Chill or Freezing,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,Warren
01069,,,,,,,,Tornado or Funnel Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropical Storm,,,Tropical Storm,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,Flooding,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,Flooding,,,,,,,,Tornado or Funnel Cloud,,,,,,,Tornado or Funnel Cloud,,,,,,,,HOUSTON
17165,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,Tornado or Funnel Cloud,,,,,,,,,,Flooding,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,Cold Weather/Wind Chill or Freezing,,Drought,,Extreme Heat,,,Flooding,,Flooding,"Wind, Hail, or Lightning",,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,Tornado or Funnel Cloud,,,,,,,Drought,,,,,,,,"Wind, Hail, or Lightning",,,Extreme Heat,,,,,,,,"Wind, Hail, or Lightning",,Snow Storms or Ice Storms,Flooding,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,,Saline
17163,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,Snow Storms or Ice Storms,,,,,,"Wind, Hail, or Lightning",,,Tornado or Funnel Cloud,,,,,,,,,,Flooding,,,,,,,,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,Extreme Heat,,Extreme Heat,,,Flooding,,Flooding,Flooding,,,,Flooding,,,,,,,,,,,Flooding,,Snow Storms or Ice Storms,,,,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,,Drought,,,,"Wind, Hail, or Lightning",,,,"Wind, Hail, or Lightning",,,Extreme Heat,,,Flooding,,"Wind, Hail, or Lightning",,,,,Snow Storms or Ice Storms,"Wind, Hail, or Lightning",,,,,,,,"Wind, Hail, or Lightning",,,,,"Wind, Hail, or Lightning",,Flooding,,,,,,,,,St. Clair
17161,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,Tornado or Funnel Cloud,,,,,,,Extreme Heat,,,Flooding,,,Tornado or Funnel Cloud,,,,Flooding,,,,,,,,,,,"Wind, Hail, or Lightning",,Snow Storms or Ice Storms,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,Drought,,,,,,,,,,,Drought,,,"Wind, Hail, or Lightning","Wind, Hail, or Lightning",Tornado or Funnel Cloud,,,"Wind, Hail, or Lightning",,Cold Weather/Wind Chill or Freezing,"Wind, Hail, or Lightning",,,,,,,,,,,,,Tornado or Funnel Cloud,,,,,,,,,,,Rock Island
01061,,,,,,,,Tornado or Funnel Cloud,,,,,,Tornado or Funnel Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Tropical Storm,,,Tropical Storm,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,Flooding,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,Tornado or Funnel Cloud,,,,,,,,Tornado or Funnel Cloud,,,,,,,,,,,,,,Flooding,,,,,,,,"Wind, Hail, or Lightning",,,,,,,"Wind, Hail, or Lightning",,,,,,,,GENEVA
01063,Snow Storms or Ice Storms,,,,,,,Flooding,,,,,,,,,,,,,,,,,,,,,,,Flooding,,,,,,,,,"Wind, Hail, or Lightning",,,Tropical Storm,Tropical Storm,,,,Drought,"Wind, Hail, or Lightning","Wind, Hail, or Lightning",,,,Cold Weather/Wind Chill or Freezing,,Drought,,Drought,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,,,,,,,,,,Tornado or Funnel Cloud,,Tornado or Funnel Cloud,,,,,,,,Flooding,,,,,,,,,,,,,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,,,,,,,,,,,,,,,,,,,,,,,,Greene
01065,Snow Storms or Ice Storms,,,,,,,Flooding,,,,,,,,,,,,,,,,,,,,,,,Flooding,,,,,,,,,"Wind, Hail, or Lightning",,,Tropical Storm,Tropical Storm,,,,Drought,"Wind, Hail, or Lightning","Wind, Hail, or Lightning",,,,Cold Weather/Wind Chill or Freezing,,Drought,,Drought,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,"Wind, Hail, or Lightning",Tornado or Funnel Cloud,,Tornado or Funnel Cloud,,,,,,,,Tornado or Funnel Cloud,,,,,,,,,,,,,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,,,,,,,,,,,,,,,,,,,,,,,,Hale
01067,,,,,,,,,,,,,,Tornado or Funnel Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Tropical Storm,,,Tropical Storm,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tornado or Funnel Cloud,,,,,,,Tornado or Funnel Cloud,,,,,,,,HENRY
08053,,,,,,,,,,,,,,,,,,,,,,,,,,Drought,,,,Drought,,,,,,,,,,,,,,,,,Wildfire,Drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drought,,,,,,Wildfire,,,,,Drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hinsdale
48329,,,Drought,,,,,,,,,Drought,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,Drought,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,Wildfire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",Flooding,,,,,,,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",Midland
08051,,,,,,,,,,,,,,,,,,,,,,,,,,Drought,,,,Drought,,,,,,,,,,,,,,,,,Wildfire,Drought,,,,,,,,,,,,,,,Flooding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drought,,,,,,,,,,,Drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gunnison
48321,,,Drought,,,,,,,,,Drought,,,,,,,,,,Drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tornado or Funnel Cloud,,,Other,Extreme Heat,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matagorda
48323,,,Drought,,,,,,,,,,,,,,,,,,,Drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drought,,,,,,,,,,,,,,,Drought,,,,,,,,,,,Drought,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,Maverick
48325,,,Drought,,,,,,,,,,,,Flooding,,,,,,,Drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,Drought,,,,,,,,,,,,,,,Drought,,,,,,,,,,,Drought,,,,,,,,,Drought,,,,,,,,,,,,,Flooding,,,,,,,,,"Wind, Hail, or Lightning",,,,Medina
48327,,,,,,,,,,,,Drought,,,,,,,"Wind, Hail, or Lightning",,,Drought,,"Wind, Hail, or Lightning",,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drought,,,,,,,,,,,,,Drought,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,Wildfire,,,,,,Drought,,,,,,,,,,,Drought,,,,,,,,,Drought,,,,,,,,,,,"Wind, Hail, or Lightning",,,Wildfire,,,,,"Wind, Hail, or Lightning",,,,,,,Menard
48101,,,Drought,,,,,,,,,Drought,,,,,,,"Wind, Hail, or Lightning",,,Drought,,"Wind, Hail, or Lightning",,,,,,Drought,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,Wildfire,Drought,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,Drought,,,,,,,,,,,,Snow Storms or Ice Storms,Drought,,,,"Wind, Hail, or Lightning",,,,,Wildfire,,,,,,Drought,,,,"Wind, Hail, or Lightning",,,,,,,Drought,,,,"Wind, Hail, or Lightning",,,,,Drought,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,"Wind, Hail, or Lightning","Wind, Hail, or Lightning",Cottle
48103,,,Drought,,,,,,,,,Drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wildfire,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,Crane
48457,,,Drought,,,,,,,,,Drought,,,,,,,,,,Extreme Heat,,,,,,,,,,,,,,,,,,,,,,,Tropical Storm,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,Wildfire,,,,,,"Wind, Hail, or Lightning",,,Wildfire,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,Flooding,,,,,Tornado or Funnel Cloud,,Tyler
48107,,,Drought,,,,,,,,,Drought,,,,,,,"Wind, Hail, or Lightning",,,Drought,,"Wind, Hail, or Lightning",,,,,,Drought,,,,,,,,,,,,,,,,,,Drought,"Wind, Hail, or Lightning",,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,"Wind, Hail, or Lightning",,,,"Wind, Hail, or Lightning",,,Snow Storms or Ice Storms,Drought,,,,,,,,,,,,,,,Drought,,,,"Wind, Hail, or Lightning",,,,,,,Drought,,,,,,,,,Drought,,,,,,,,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,,,,,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning","Wind, Hail, or Lightning",Crosby
48109,,,Drought,,,,,,,,,Drought,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,Drought,"Wind, Hail, or Lightning",,,,,,,,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,,,,,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,,"Wind, Hail, or Lightning",,,Cold Weather/Wind Chill or Freezing,Wildfire,,,"Wind, Hail, or Lightning","Wind, Hail, or Lightning","Wind, Hail, or Lightning","Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,Culberson
48459,,,Drought,,,,,,,,,Drought,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,Tornado or Funnel Cloud,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,,,,Tropical Storm,,,,,,"Wind, Hail, or Lightning",,,,,,,,Drought,,,,,,"Wind, Hail, or Lightning",,,Wildfire,,,,,,Drought,,"Wind, Hail, or Lightning",,,,,"Wind, Hail, or Lightning",,,,Drought,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,,,,,Tornado or Funnel Cloud,,,,"Wind, Hail, or Lightning","Wind, Hail, or Lightning",,Tornado or Funnel Cloud,,Upshur
13099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropical Storm,Tropical Storm,Tropical Storm,,Tropical Storm,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,"Wind, Hail, or Lightning",Drought,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tornado or Funnel Cloud,,,,,,,Tornado or Funnel Cloud,,,,,,,,Early
13097,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,Drought,,Drought,,,,Drought,,,,,,,,"Wind, Hail, or Lightning",,,,,Tropical Storm,Tropical Storm,Tropical Storm,,Flooding,Tropical Storm,,,,,,"Wind, Hail, or Lightning",,,,Cold Weather/Wind Chill or Freezing,,Drought,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,Tropical Storm,Extreme Heat,,,,,,,,,,,,"Wind, Hail, or Lightning",,,Flooding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas
13095,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropical Storm,Tropical Storm,Tropical Storm,,Tropical Storm,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,Flooding,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,"Wind, Hail, or Lightning",,,,,,,,"Wind, Hail, or Lightning",Drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,DOUGHERTY
13093,,,,,,,,Flooding,,,,,,,,,,,,Drought,,Drought,,,,Drought,,,,,,,,,,,,,Tropical Storm,Tropical Storm,Tropical Storm,,,Tropical Storm,,,,,,"Wind, Hail, or Lightning",,,,Cold Weather/Wind Chill or Freezing,,Drought,,,,,,,,,,,,,,,Tornado or Funnel Cloud,Tornado or Funnel Cloud,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,Tropical Storm,Extreme Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,Dooly
13091,,,,,,,,Flooding,,,,,,,,,,,,Drought,,Drought,,,,Drought,,,,,,,,,,,,,Tropical Storm,Tropical Storm,Tropical Storm,,,Tropical Storm,,,,,,,,,,Cold Weather/Wind Chill or Freezing,Tornado or Funnel Cloud,Drought,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,Tornado or Funnel Cloud,,,,,,,,,,,,Tropical Storm,Extreme Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flooding,,,,,,,,,,Dodge
48215,,,Drought,,,,,,,,,,,,,,,,,,,Drought,,,"Wind, Hail, or Lightning",Drought,,,,Drought,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,Tropical Storm,,,,Drought,,,,,,,,,,,,,Drought,,,,,,,,,Wildfire,,,,,,Drought,,,,,,,,,,,Drought,,,,,,,,,Drought,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,Hidalgo
36119,Snow Storms or Ice Storms,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,Flooding,Snow Storms or Ice Storms,,Extreme Heat,,,,,,Drought,,,,,,,,,,,"Wind, Hail, or Lightning",,Flooding,,Flooding,,,,,,,,,,,,,,Flooding,,,,,,,,,,,,,,,,,,,,,Flooding,,,"Wind, Hail, or Lightning",,Snow Storms or Ice Storms,,,,,,,,,,,,,,Tropical Storm,,,,,,,,,,,,Flooding,,,,,,,,,,,,,Flooding,,,,,,,,,,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,,,,,,Westchester
13259,Cold Weather/Wind Chill or Freezing,,,,,,,,,,,,,,,,,,,,,Drought,,,,Drought,,,,,,,,,,,,,Tropical Storm,Tropical Storm,Tropical Storm,,"Wind, Hail, or Lightning",Tropical Storm,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,Drought,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,Tropical Storm,Extreme Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stewart
48213,,,Drought,,,,,,,,,Drought,,,,,,,Tornado or Funnel Cloud,,,Drought,,,,,,,,,,,,,,,,,,,,,,,,,,Drought,,,,,,,"Wind, Hail, or Lightning",,,,"Wind, Hail, or Lightning",,,,,,,,,Tropical Storm,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,,,,,,Drought,,,,,,"Wind, Hail, or Lightning",,,Wildfire,"Wind, Hail, or Lightning",,,,,Drought,,,,,,,,,,,Drought,,,,"Wind, Hail, or Lightning",,,,,Drought,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,Tornado or Funnel Cloud,,Flooding,,,,,,,Henderson
36113,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,Snow Storms or Ice Storms,,Drought,,,,,,Wildfire,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,Flooding,,,,,,,,,,,,,,,,,,,,,,,,Flooding,,,"Wind, Hail, or Lightning",,Snow Storms or Ice Storms,,,,,,,,,,,,,,Tropical Storm,,,,,,,"Wind, Hail, or Lightning",,,,,"Wind, Hail, or Lightning",,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,,,,,,,,,,,,,,,,,,,,,,,,Warren
36111,Snow Storms or Ice Storms,,,,,,,,Flooding,,"Wind, Hail, or Lightning",,,,,,Snow Storms or Ice Storms,Snow Storms or Ice Storms,,Drought,,,,,,Wildfire,,,,,,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,Flooding,Flooding,,,,,,,,,,,Flooding,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,Snow Storms or Ice Storms,,,,,,,,,,,,,,Tropical Storm,,,,,,,Flooding,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,,"Wind, Hail, or Lightning",,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,Ulster
36117,Snow Storms or Ice Storms,,,,,,,,Flooding,,"Wind, Hail, or Lightning",,,,,,Snow Storms or Ice Storms,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,,,,Flooding,,Flooding,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,"Wind, Hail, or Lightning",,,,,"Wind, Hail, or Lightning",,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne
