fips,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141
08115,,,,,,,,,,,,,,,,,,,,,,,,,,Drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,Sedgwick
40147,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,"Wind, Hail, or Lightning",,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,Drought,"Wind, Hail, or Lightning","Wind, Hail, or Lightning",,,,,,Extreme Heat,,,,,,,,Flooding,,,,,Extreme Heat,Flooding,"Wind, Hail, or Lightning",,,,,,,"Wind, Hail, or Lightning",,,Snow Storms or Ice Storms,Drought,,,"Wind, Hail, or Lightning",Tornado or Funnel Cloud,,,,"Wind, Hail, or Lightning",,Tornado or Funnel Cloud,,,,,Drought,,,,"Wind, Hail, or Lightning",,,,,,,Drought,,,,Tornado or Funnel Cloud,Tornado or Funnel Cloud,,,,Drought,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,"Wind, Hail, or Lightning",,WASHINGTON
51069,Snow Storms or Ice Storms,,,Flooding,,,,Flooding,,,,,,,,,,Snow Storms or Ice Storms,,Drought,"Wind, Hail, or Lightning",Extreme Heat,,,,Extreme Heat,,,,,,,"Wind, Hail, or Lightning",,,Flooding,"Wind, Hail, or Lightning",,,Tornado or Funnel Cloud,Tornado or Funnel Cloud,,,,,,,,,,,Flooding,,Cold Weather/Wind Chill or Freezing,Flooding,Drought,,,,,,,,"Wind, Hail, or Lightning",,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,Flooding,,Tornado or Funnel Cloud,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,Flooding,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,Snow Storms or Ice Storms,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,Frederick
39109,Snow Storms or Ice Storms,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,Snow Storms or Ice Storms,Snow Storms or Ice Storms,,Drought,,,,"Wind, Hail, or Lightning",,,,,,,,,Flooding,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,Cold Weather/Wind Chill or Freezing,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,Flooding,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,,Miami
51065,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,,,Tropical Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,Tornado or Funnel Cloud,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,Flooding,,,Tornado or Funnel Cloud,,,,,,,,Fluvanna
39105,Snow Storms or Ice Storms,,,,,,Flooding,,,,,,,,,,,,,Drought,,,,"Wind, Hail, or Lightning",,,Flooding,,,,,,"Wind, Hail, or Lightning",,,,"Wind, Hail, or Lightning",,,Flooding,,,,,,,,,,,,,,,,Drought,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,,,,,,,Snow Storms or Ice Storms,,,,,,,,,,,,,,,,,Meigs
51067,Snow Storms or Ice Storms,,,Flooding,,,,Flooding,,,,,,,,,,,,Drought,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,Tropical Storm,"Wind, Hail, or Lightning",,,Tornado or Funnel Cloud,Tornado or Funnel Cloud,,,,,,,,,,,Flooding,,Cold Weather/Wind Chill or Freezing,"Wind, Hail, or Lightning",Drought,,Drought,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,Flooding,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,"Wind, Hail, or Lightning",Flooding,,,,,,,,,,Franklin
39107,Snow Storms or Ice Storms,,,,,,Flooding,,,,"Wind, Hail, or Lightning",,,,,,Snow Storms or Ice Storms,Snow Storms or Ice Storms,,Drought,,,,,,,,,,,,,Flooding,Flooding,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,Cold Weather/Wind Chill or Freezing,,,,,Flooding,,,,,,,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,,,,,,,,Snow Storms or Ice Storms,,,,,,Tornado or Funnel Cloud,,,Tornado or Funnel Cloud,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,"Wind, Hail, or Lightning",,Snow Storms or Ice Storms,,,"Wind, Hail, or Lightning",,,,,Snow Storms or Ice Storms,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,Mercer
51061,Flooding,,,Flooding,,,,Flooding,,,,,,,,,,,,,,,,,,,Tornado or Funnel Cloud,,,,,,"Wind, Hail, or Lightning",,,Flooding,"Wind, Hail, or Lightning",,,Tornado or Funnel Cloud,Tornado or Funnel Cloud,,,,,,,,,,,Flooding,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,Flooding,,,,,,,,,,,Snow Storms or Ice Storms,,Flooding,"Wind, Hail, or Lightning",,,,,Snow Storms or Ice Storms,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,FAUQUIER
39101,Snow Storms or Ice Storms,,,,,,Flooding,,,,"Wind, Hail, or Lightning",,,,,,Snow Storms or Ice Storms,Snow Storms or Ice Storms,,Drought,,,,"Wind, Hail, or Lightning",,,,,,,,,"Wind, Hail, or Lightning","Wind, Hail, or Lightning",,,Flooding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,Snow Storms or Ice Storms,,,,,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,,,,,,,,,,,,,,,,,,,,,,,,Marion
